grad_(%) in Cohort,grad_# Dropped Out,grad_# Graduated,grad_# H.S. Equiv.,grad_# Non-Grad Completers,grad_# Permanently Excluded,grad_# Still in School,District Code,Year,sal_Average Salary,sal_FTE Count,sal_Salary Totals,mcas_MCAS_Avg. Scaled Score_ELA,mcas_MCAS_Avg. Scaled Score_MATH,mcas_MCAS_Avg. Scaled Score_SCI,mcas_MCAS_SGP_ELA,mcas_MCAS_SGP_MATH,expend_In-District Expenditures,expend_In-District Expenditures per Pupil,expend_Total Expenditures,expend_Total Expenditures per Pupil,expend_Total In-district FTEs,expend_Total Pupil FTEs,age_26-32 yrs ((%)),age_33-40 yrs ((%)),age_41-48 yrs ((%)),age_49-56 yrs ((%)),age_57-64 yrs ((%)),age_<26 yrs ((%) ),age_Over 64 yrs ((%)),prog_Career Technical Education ((%)),prog_English Learners ((%)),prog_General Education ((%)),prog_Special Education ((%)),demo_American Indian or Alaska Native,demo_Asian,demo_Black or African American,demo_Female,demo_Hispanic or Latino,demo_Male,"demo_Multi-Race, Not Hispanic or Latino",demo_Native Hawaiian or Other Pacific Islander,demo_Nonbinary,demo_White,sat_Math,sat_Reading,sat_Reading / Writing,sat_Tests Taken,District Name,sat_Reading_Merged
       100,4.0,92.0,0.0,0.0,2.0,2.0,04450000,2013,,,,,,,,,,,,,,,32.4,17.8,20.4,9.3,8.0,11.2,0.9,0.0,0.9,84.2,14.9,0.1,4.6,35.6,50.9,25.8,49.1,3.6,0.1,,30.2,468.0,469.0,,      85,Abby Kelley Foster Charter Public (District),469.0
       144,6.3,88.9,2.8,0.0,0.0,2.1,00010000,2013,"  $71,422",    123.5,"      $8,820,584",,,,,,"          $22,094,058.81","              $10,766.04","          $25,629,422.20","              $11,987.57","           2,052.2","           2,138.0",17.1,16.1,25.4,26.3,11.3,3.8,0.1,0.0,0.0,99.2,0.8,0.2,1.6,1.8,48.9,2.9,51.1,0.2,0.0,,93.3,505.0,504.0,,     103,Abington,504.0
        27,0.0,92.6,0.0,0.0,0.0,7.4,04120000,2013,,,,,,,,,,,,,,,52.7,10.0,7.0,3.5,3.5,23.3,0.0,0.0,0.0,92.9,7.1,0.0,1.4,57.7,52.1,17.7,47.9,3.4,0.0,,19.9,505.0,484.0,,      22,Academy Of the Pacific Rim Charter Public (District),484.0
       488,0.4,97.1,0.0,0.0,0.0,2.5,06000000,2013,"  $76,676",    183.9,"     $14,100,746",,,,,,"          $36,803,025.00","              $12,661.01","          $41,985,883.00","              $13,962.25","           2,906.8","           3,007.1",17.2,23.1,23.9,15.6,12.3,6.1,1.8,0.0,0.3,93.2,6.5,0.2,23.3,1.1,49.7,3.2,50.3,2.7,0.0,,69.5,649.0,613.0,,     460,Acton-Boxborough,613.0
       101,6.9,81.2,5.9,0.0,0.0,5.9,06030000,2013,"  $67,156",    102.1,"      $6,856,594",,,,,,"          $18,789,640.51","              $13,479.91","          $20,272,964.51","              $13,224.37","           1,393.9","           1,533.0",10.5,18.1,30.7,19.9,16.8,2.9,1.0,0.0,0.0,100.0,0.0,0.4,0.6,3.6,48.1,1.3,51.9,0.1,0.1,,93.9,464.0,460.0,,      53,Adams-Cheshire,460.0
        72,0.0,98.6,0.0,0.0,0.0,1.4,04300000,2013,,,,,,,,,,,,,,,27.2,17.5,18.6,16.3,2.7,16.5,1.2,0.0,0.0,100.0,0.0,0.6,24.7,2.6,47.5,5.4,52.5,2.8,0.1,,63.8,640.0,595.0,,      69,Advanced Math and Science Academy Charter (District),595.0
       349,4.9,90.0,0.9,0.0,0.0,4.3,00050000,2013,"  $63,823",    305.4,"     $19,491,606",,,,,,"          $49,955,927.40","              $12,273.28","          $54,273,404.57","              $12,913.32","           4,070.3","           4,202.9",17.9,21.4,17.0,21.5,14.0,6.5,1.8,0.7,1.0,90.1,8.3,0.1,2.2,1.5,49.2,4.5,50.8,1.6,0.1,,89.9,514.0,494.0,,     230,Agawam,494.0
       151,4.0,87.4,0.0,2.0,0.0,6.6,00070000,2013,"  $75,132",    159.6,"     $11,991,069",,,,,,"          $28,181,817.83","              $12,184.62","          $32,505,934.90","              $13,036.27","           2,312.9","           2,493.5",10.9,14.9,25.1,28.1,17.5,2.0,1.5,0.0,0.5,83.9,15.6,0.0,1.0,1.2,47.1,3.5,52.9,2.7,0.1,,91.5,537.0,519.0,,     112,Amesbury,519.0
        21,4.8,76.2,0.0,0.0,0.0,19.0,04150000,2013,,,,,,,,,,,,,,,11.6,40.5,13.2,23.1,11.6,0.0,0.0,0.0,0.0,86.1,13.9,0.0,0.0,0.0,44.7,8.5,55.3,4.3,0.0,,87.2,,,,       6,Amesbury Academy Charter Public (District),
       291,2.7,90.7,1.7,0.0,0.0,4.8,06050000,2013,"  $77,511",    129.4,"     $10,029,879",,,,,,"          $27,730,062.00","              $18,255.47","          $30,957,738.00","              $18,687.52","           1,519.0","           1,656.6",10.3,26.4,23.7,24.9,13.0,0.9,0.8,0.0,1.7,81.0,17.4,0.0,10.0,6.6,47.5,12.5,52.5,8.2,0.1,,62.6,585.0,585.0,,     216,Amherst-Pelham,585.0
       480,1.3,95.2,0.4,0.6,0.0,2.5,00090000,2013,"  $80,529",    433.6,"     $34,917,335",,,,,,"          $83,772,253.00","              $13,453.50","          $90,825,972.00","              $14,376.66","           6,226.8","           6,317.6",14.6,18.4,29.2,17.2,15.8,2.7,2.0,0.0,2.3,83.1,14.6,0.2,13.2,1.8,49.5,4.6,50.5,2.4,0.0,,77.6,587.0,564.0,,     431,Andover,564.0
       346,4.6,91.0,0.9,0.6,0.3,2.6,00100000,2013,"  $61,069",    336.6,"     $20,555,845",,,,,,"          $56,938,151.41","              $11,489.43","          $63,919,361.64","              $12,545.75","           4,955.7","           5,094.9",28.5,24.7,18.4,12.3,9.6,4.4,2.3,0.0,1.3,88.5,10.2,0.0,10.7,3.2,50.2,5.1,49.8,3.8,0.1,,77.0,573.0,577.0,,     290,Arlington,577.0
       165,2.4,93.9,0.6,0.0,0.0,3.0,06100000,2013,"  $67,692",    149.3,"     $10,106,373",,,,,,"          $26,596,624.48","              $11,718.64","          $28,745,755.28","              $12,268.78","           2,269.6","           2,343.0",13.0,18.5,20.9,24.9,17.7,3.3,1.8,0.0,0.7,83.5,15.8,0.1,1.0,0.7,48.9,3.7,51.1,1.8,0.0,,92.8,528.0,518.0,,     125,Ashburnham-Westminster,518.0
       181,4.4,93.4,0.0,0.0,0.0,2.2,00140000,2013,"  $71,270",    176.2,"     $12,557,800",,,,,,"          $30,748,130.49","              $12,068.50","          $33,858,444.25","              $12,676.79","           2,547.8","           2,670.9",22.3,19.1,27.3,17.6,10.4,2.6,0.6,0.0,2.0,85.3,12.7,0.1,9.7,2.3,50.2,7.1,49.8,2.5,0.0,,78.2,569.0,530.0,,     158,Ashland,530.0
       239,3.3,90.8,1.3,0.0,0.4,4.2,08010000,2013,"  $76,591",     98.0,"      $7,505,894",,,,,,"          $18,967,230.76","              $18,220.20","          $19,028,106.42","              $18,252.38","           1,041.0","           1,042.5",19.6,23.1,15.2,20.0,17.3,4.7,0.0,44.6,1.0,44.9,9.5,0.4,0.4,1.5,42.4,13.1,57.6,2.5,0.1,,82.1,453.0,445.0,,     117,Assabet Valley Regional Vocational Technical,445.0
       100,12.0,77.0,6.0,0.0,0.0,5.0,06150000,2013,"  $64,906",    105.2,"      $6,828,105",,,,,,"          $20,294,425.97","              $14,086.50","          $24,007,354.36","              $13,526.79","           1,440.7","           1,774.8",8.0,17.0,20.3,34.5,13.8,2.3,4.1,0.0,0.5,80.2,19.3,0.1,0.6,2.2,47.1,5.8,52.9,2.8,0.0,,88.5,452.0,463.0,,      43,Athol-Royalston,463.0
       409,6.6,87.5,1.5,0.2,0.0,4.2,00160000,2013,"  $75,047",    389.0,"     $29,193,406",,,,,,"          $69,059,403.00","              $11,820.58","          $76,348,600.00","              $12,167.50","           5,842.3","           6,274.8",18.2,20.1,20.8,18.1,15.8,5.1,2.0,3.9,1.7,76.2,18.2,0.2,4.4,4.2,48.1,12.7,51.9,4.3,0.2,,74.0,518.0,502.0,,     270,Attleboro,502.0
       196,4.1,92.3,1.0,0.0,0.0,2.6,00170000,2013,"  $61,365",    169.7,"     $10,413,594",,,,,,"          $28,659,921.89","              $12,445.68","          $30,813,569.17","              $12,947.97","           2,302.8","           2,379.8",25.2,17.7,24.6,17.3,8.4,6.1,0.7,0.0,0.0,89.1,10.9,0.2,2.7,1.0,49.6,4.6,50.4,2.7,0.0,,88.8,507.0,489.0,,     161,Auburn,489.0
        55,3.6,94.5,0.0,0.0,1.8,0.0,00180000,2013,"  $61,671",     63.5,"      $3,916,117",,,,,,"           $9,359,314.46","              $12,492.41","           $9,633,506.46","              $12,754.54",             749.2,             755.3,27.5,15.9,26.2,9.1,14.0,7.2,0.0,0.0,0.0,85.2,14.8,0.5,4.6,24.7,49.7,5.8,50.3,3.5,0.1,,60.9,466.0,453.0,,      47,Avon,453.0
        83,8.4,80.7,1.2,2.4,0.0,7.2,06160000,2013,"  $67,257",    118.0,"      $7,936,357",,,,,,"          $20,855,792.00","              $12,622.28","          $25,756,864.00","              $13,123.85","           1,652.3","           1,962.6",21.4,20.7,20.8,17.4,14.1,5.1,0.6,0.0,1.7,82.3,16.0,0.5,2.1,5.0,47.5,10.8,52.5,4.3,0.3,,77.0,503.0,481.0,,      51,Ayer Shirley School District,481.0
       435,7.6,85.3,2.5,0.7,0.0,3.9,00200000,2013,"  $74,306",    369.7,"     $27,470,992",,,,,,"          $67,862,311.63","              $13,818.99","          $78,492,009.31","              $14,110.42","           4,910.8","           5,562.7",8.8,12.9,21.8,25.0,25.1,4.1,2.4,0.0,1.9,85.3,12.8,0.8,2.6,5.2,50.1,6.8,49.9,4.2,0.3,,80.1,518.0,506.0,,     271,Barnstable,506.0
       244,2.0,92.2,1.6,0.0,0.0,4.1,00230000,2013,"  $82,275",    197.8,"     $16,274,069",,,,,,"          $36,495,932.40","              $14,861.12","          $43,405,002.10","              $16,992.91","           2,455.8","           2,554.3",20.3,23.4,24.4,14.6,12.3,3.5,1.5,0.0,0.0,86.2,13.8,0.3,11.5,6.8,48.7,5.0,51.3,3.4,0.1,,72.9,579.0,567.0,,     198,Bedford,567.0
       206,1.5,92.7,1.5,0.5,0.0,3.9,00240000,2013,"  $61,741",    169.5,"     $10,465,021",,,,,,"          $27,412,880.24","              $11,073.23","          $29,877,379.38","              $11,449.47","           2,475.6","           2,609.5",15.6,18.6,23.2,16.4,21.3,4.4,0.5,0.0,0.0,84.4,15.6,0.2,2.3,1.2,49.0,3.3,51.0,2.0,0.2,,90.9,541.0,518.0,,     142,Belchertown,518.0
       173,4.0,89.6,1.7,1.7,0.0,2.9,00250000,2013,"  $67,385",    173.9,"     $11,718,195",,,,,,"          $29,108,222.00","              $11,960.48","          $31,870,914.00","              $12,454.44","           2,433.7","           2,559.0",15.6,19.8,20.1,19.7,16.2,4.3,4.4,0.0,0.0,91.9,8.1,0.2,3.6,1.3,48.2,3.1,51.8,1.1,0.0,,90.8,495.0,501.0,,     123,Bellingham,501.0
