# in Cohort,% Dropped Out,% Graduated,% H.S. Equiv.,% Non-Grad Completers,% Permanently Excluded,% Still in School,District Code,District Name,Year
       100,4.0,92.0,0.0,0.0,2.0,2.0,4450000,Abby Kelley Foster Charter Public (District),2013
       144,6.3,88.9,2.8,0.0,0.0,2.1,10000,Abington,2013
        27,0.0,92.6,0.0,0.0,0.0,7.4,4120000,Academy Of the Pacific Rim Charter Public (District),2013
       488,0.4,97.1,0.0,0.0,0.0,2.5,6000000,Acton-Boxborough,2013
       101,6.9,81.2,5.9,0.0,0.0,5.9,6030000,Adams-Cheshire,2013
        72,0.0,98.6,0.0,0.0,0.0,1.4,4300000,Advanced Math and Science Academy Charter (District),2013
       349,4.9,90.0,0.9,0.0,0.0,4.3,50000,Agawam,2013
       151,4.0,87.4,0.0,2.0,0.0,6.6,70000,Amesbury,2013
        21,4.8,76.2,0.0,0.0,0.0,19.0,4150000,Amesbury Academy Charter Public (District),2013
       291,2.7,90.7,1.7,0.0,0.0,4.8,6050000,Amherst-Pelham,2013
       480,1.3,95.2,0.4,0.6,0.0,2.5,90000,Andover,2013
       346,4.6,91.0,0.9,0.6,0.3,2.6,100000,Arlington,2013
       165,2.4,93.9,0.6,0.0,0.0,3.0,6100000,Ashburnham-Westminster,2013
       181,4.4,93.4,0.0,0.0,0.0,2.2,140000,Ashland,2013
       239,3.3,90.8,1.3,0.0,0.4,4.2,8010000,Assabet Valley Regional Vocational Technical,2013
       100,12.0,77.0,6.0,0.0,0.0,5.0,6150000,Athol-Royalston,2013
       409,6.6,87.5,1.5,0.2,0.0,4.2,160000,Attleboro,2013
       196,4.1,92.3,1.0,0.0,0.0,2.6,170000,Auburn,2013
        55,3.6,94.5,0.0,0.0,1.8,0.0,180000,Avon,2013
        83,8.4,80.7,1.2,2.4,0.0,7.2,6160000,Ayer Shirley School District,2013
       435,7.6,85.3,2.5,0.7,0.0,3.9,200000,Barnstable,2013
       244,2.0,92.2,1.6,0.0,0.0,4.1,230000,Bedford,2013
       206,1.5,92.7,1.5,0.5,0.0,3.9,240000,Belchertown,2013
       173,4.0,89.6,1.7,1.7,0.0,2.9,250000,Bellingham,2013
