Average Salary,District Code,District Name,FTE Count,Salary Totals,Year
"  $71,422",10000,Abington,    123.5,"      $8,820,584",2013
"  $77,953",20000,Acton,    147.4,"     $11,490,314",2013
"  $76,676",6000000,Acton-Boxborough,    183.9,"     $14,100,746",2013
"  $63,431",30000,Acushnet,     69.0,"      $4,376,744",2013
"  $67,156",6030000,Adams-Cheshire,    102.1,"      $6,856,594",2013
"  $63,823",50000,Agawam,    305.4,"     $19,491,606",2013
"  $75,132",70000,Amesbury,    159.6,"     $11,991,069",2013
"  $71,225",80000,Amherst,    115.6,"      $8,233,665",2013
"  $77,511",6050000,Amherst-Pelham,    129.4,"     $10,029,879",2013
"  $80,529",90000,Andover,    433.6,"     $34,917,335",2013
"  $61,069",100000,Arlington,    336.6,"     $20,555,845",2013
"  $67,692",6100000,Ashburnham-Westminster,    149.3,"     $10,106,373",2013
"  $71,270",140000,Ashland,    176.2,"     $12,557,800",2013
"  $76,591",8010000,Assabet Valley               ,     98.0,"      $7,505,894",2013
"  $64,906",6150000,Athol-Royalston,    105.2,"      $6,828,105",2013
"  $75,047",160000,Attleboro,    389.0,"     $29,193,406",2013
"  $61,365",170000,Auburn,    169.7,"     $10,413,594",2013
"  $61,671",180000,Avon,     63.5,"      $3,916,117",2013
"  $67,257",6160000,Ayer Shirley,    118.0,"      $7,936,357",2013
"  $74,306",200000,Barnstable,    369.7,"     $27,470,992",2013
"  $82,275",230000,Bedford,    197.8,"     $16,274,069",2013
"  $61,741",240000,Belchertown,    169.5,"     $10,465,021",2013
"  $67,385",250000,Bellingham,    173.9,"     $11,718,195",2013
"  $79,244",260000,Belmont,    242.3,"     $19,200,783",2013
"  $65,784",270000,Berkley,     60.8,"      $3,999,640",2013
"  $69,236",6180000,Berkshire Hills,    113.9,"      $7,885,962",2013
"  $81,243",280000,Berlin,     19.5,"      $1,584,230",2013
"  $66,487",6200000,Berlin-Boylston,     34.8,"      $2,313,757",2013
"  $59,716",300000,Beverly,    296.2,"     $17,687,744",2013
"  $67,940",310000,Billerica,    391.4,"     $26,591,667",2013
"  $71,974",8050000,Blackstone Valley            ,     95.0,"      $6,837,496",2013
"  $63,467",6220000,Blackstone-Millville,    134.9,"      $8,561,674",2013
"  $78,604",8060000,Blue Hills                   ,     82.9,"      $6,516,293",2013
"  $76,906",350000,Boston,"  4,591.6","    $353,122,118",2013
"  $78,189",360000,Bourne,    143.2,"     $11,196,722",2013
"  $82,107",370000,Boxborough,     36.1,"      $2,964,073",2013
"  $74,098",380000,Boxford,     59.9,"      $4,438,496",2013
"  $73,154",390000,Boylston,     26.3,"      $1,923,952",2013
"  $70,171",400000,Braintree,    393.1,"     $27,584,376",2013
"  $72,914",410000,Brewster,     42.6,"      $3,106,130",2013
"  $76,013",6250000,Bridgewater-Raynham,    325.2,"     $24,719,425",2013
"  $65,282",430000,Brimfield,     27.4,"      $1,788,727",2013
"  $65,006",9100000,Bristol County Agricultural,     33.4,"      $2,171,199",2013
"  $77,641",8100000,Bristol Plymouth             ,     99.5,"      $7,725,237",2013
"  $82,841",440000,Brockton,"  1,064.5","     $88,183,815",2013
"  $61,493",450000,Brookfield,     24.7,"      $1,518,877",2013
"  $82,488",460000,Brookline,    557.2,"     $45,962,475",2013
"  $85,901",480000,Burlington,    299.7,"     $25,744,653",2013
"  $80,725",490000,Cambridge,    564.3,"     $45,552,942",2013
"  $74,259",500000,Canton,    229.6,"     $17,049,969",2013
"  $75,368",8150000,Cape Cod                     ,     66.6,"      $5,019,518",2013
"  $85,980",510000,Carlisle,     57.0,"      $4,900,873",2013
"  $67,595",520000,Carver,    126.8,"      $8,570,985",2013
"  $65,142",6350000,Central Berkshire,    142.0,"      $9,250,182",2013
"  $69,345",560000,Chelmsford,    344.4,"     $23,882,403",2013
"  $66,727",570000,Chelsea,    411.6,"     $27,464,646",2013
"  $56,246",6320000,Chesterfield-Goshen,     16.0,"        $899,935",2013
"  $63,073",610000,Chicopee,    615.2,"     $38,802,720",2013
"  $59,366",630000,Clarksburg,     14.1,"        $837,054",2013
"  $68,346",640000,Clinton,    124.8,"      $8,529,584",2013
"  $74,714",650000,Cohasset,    110.5,"      $8,255,931",2013
"  $89,171",670000,Concord,    156.5,"     $13,955,282",2013
"  $95,947",6400000,Concord-Carlisle,     90.6,"      $8,692,801",2013
"  $67,307",680000,Conway,     11.5,"        $774,029",2013
"  $72,716",710000,Danvers,    265.3,"     $19,291,469",2013
"  $68,091",720000,Dartmouth,    281.6,"     $19,174,381",2013
"  $74,972",730000,Dedham,    224.9,"     $16,861,192",2013
"  $51,954",740000,Deerfield,     38.4,"      $1,995,020",2013
"  $66,581",6450000,Dennis-Yarmouth,    294.0,"     $19,574,748",2013
"  $66,406",6500000,Dighton-Rehoboth,    222.1,"     $14,748,842",2013
"  $65,321",770000,Douglas,    105.0,"      $6,858,692",2013
"  $84,005",780000,Dover,     42.9,"      $3,603,832",2013
"  $89,600",6550000,Dover-Sherborn,     97.1,"      $8,700,196",2013
"  $66,937",790000,Dracut,    216.0,"     $14,458,469",2013
"  $66,304",6580000,Dudley Charlton              ,    269.4,"     $17,862,364",2013
"  $71,398",820000,Duxbury,    235.3,"     $16,799,926",2013
"  $70,248",830000,East Bridgewater,    123.0,"      $8,640,457",2013
"  $76,928",870000,East Longmeadow,    190.2,"     $14,631,784",2013
"  $76,024",850000,Eastham,     21.7,"      $1,649,719",2013
"  $64,276",860000,Easthampton,    118.0,"      $7,584,526",2013
"  $69,760",880000,Easton,    258.9,"     $18,060,943",2013
"  $76,589",890000,Edgartown,     39.0,"      $2,986,952",2013
"  $61,717",910000,Erving,     16.6,"      $1,024,509",2013
"  $62,312",9100000,Essex Agricultural Technical,     48.7,"      $3,034,610",2013
"  $68,899",930000,Everett,    462.5,"     $31,865,980",2013
"  $65,123",940000,Fairhaven,    137.4,"      $8,947,919",2013
"  $66,138",950000,Fall River,    735.4,"     $48,637,981",2013
"  $75,191",960000,Falmouth,    287.2,"     $21,594,934",2013
"  $51,693",6620000,Farmington River,     13.3,"        $687,515",2013
"  $73,612",970000,Fitchburg,    351.8,"     $25,896,852",2013
"  $35,497",980000,Florida,     11.0,"        $390,467",2013
"  $75,920",990000,Foxborough,    206.2,"     $15,654,763",2013
"  $75,856",1000000,Framingham,    647.2,"     $49,094,099",2013
"  $70,753",1010000,Franklin,    406.1,"     $28,732,647",2013
"  $65,578",8180000,Franklin County              ,     54.8,"      $3,593,657",2013
"  $66,894",6650000,Freetown-Lakeville,    195.4,"     $13,071,100",2013
"  $64,663",6700000,Frontier,     58.3,"      $3,769,860",2013
"  $63,726",1030000,Gardner,    178.2,"     $11,355,976",2013
"  $55,995",6720000,Gateway,     85.6,"      $4,793,151",2013
"  $64,209",1050000,Georgetown,    110.9,"      $7,120,796",2013
